BoroName,BoroCode,BoroCD,CounDist,AssemDist,StSenDist,CongDist,StopName,Corner,BusStopID,Routes,Direction,Notes,Elected Official,WO #,Wireless Communication,Release Date,RTPI Complete,Latitude,Longitude,NTAName,FEMAFldz,FEMAFldT,HrcEvac,Location
Queens,4,410,32,38,15,5,LIBERTY AV & 102 ST,SW,552377,Q112,EB,,Ulrich (Qn),E144,AT&T,10/08/2020,04/19/2021,40.681321,-73.83882,South Ozone Park,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.83882 40.681321)
Queens,4,412,31,29,10,5,140 AV & BEDELL ST,NW,504543,Q85,WB,,Richards (Qn),E169,AT&T,12/21/2020,05/14/2021,40.67218,-73.761233,Springfield Gardens (North)-Rochdale Village,X,AREA OF MINIMAL FLOOD HAZARD,5,POINT (-73.761233 40.67218)
Queens,4,409,32,38,15,7,ATLANTIC AV/WOODHAVEN BL                  504207,,504207,Q24,Westbound,"Transfer from Woodhaven Blvd buses, west to Broadway Junction & Bushwick",Ulrich (Q),E204,NYCWiN,,,40.687999,-73.84986,Woodhaven,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.84986 40.687999)
Staten Island,5,501,49,63,23,11,"FOREST AV & 
BARD AV                                                                                         
 (NE Corner)                                                                                                               201548",,201548,"X30, S98 LTD, S48",Northbound,West on Forest Avenue to Mariner's Harbor,Rose (SI),E79,NYCWiN,,,40.630666,-74.105476,West New Brighton-Silver Lake-Grymes Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.105476 40.630666)
Queens,4,401,22,36,12,14,STEINWAY ST & 25 AV,NE,552052,Q101,NB,,Constantinedes (Qn),E110,AT&T,03/07/2020,06/30/2021,40.768098,-73.911492,Astoria (East)-Woodside (North),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.911492 40.768098)
Staten Island,5,501,50,61,24,11,"FOREST AV & LIVERMORE AV
(SW Corner)
201494",,201494,S48,Eastbound,St George,Oddo (SI),E394,AT&T,10/16/2018,12/20/2018,40.624171,-74.137473,Westerleigh-Castleton Corners,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.137473 40.624171)
Brooklyn,3,306,38,51,26,10,VAN BRUNT ST & VERONA ST,NE,305099,B60,NB,,Menchaca (Bk),E043,AT&T,11/18/2019,05/21/2020,40.680191,-74.009468,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,AE,,1,POINT (-74.009468 40.680191)
Brooklyn,3,311,43,47,17,11,"18 AV & 
NEW UTRECHT AV
(NW Corner)
300908",,300908,B8,Southbound,Transfer from 18 Av D station south on 18th Av and west toward Bay Ridge,Savino (K),E217,AT&T,,,40.608191,-74.001599,Bath Beach,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.001599 40.608191)
Queens,4,404,21,34,13,14,"JUNCTION BL &
ROOSEVELT AV
(SW Corner)
552002",,552002,Q72,Southbound,Transfer from Junction Blvd 7 train. South on Junction Blvd to Rego Park,Moya (Qn),E290,AT&T,06/08/2018,10/26/2018,40.74887,-73.86931,Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.86931 40.74887)
Bronx,2,208,14,78,31,13,W KINGSBRIDGE RD & UNIVERSITY AV,NW,103008,"Bx3, Bx9, Bx32",NB,,Cabrera (Bx),E152,AT&T,10/30/2020,05/05/2021,40.868402,-73.901313,Kingsbridge Heights-Van Cortlandt Village,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.901313 40.868402)
Manhattan,1,108,5,76,28,12,"YORK AV 
& E 76 ST
(NE Corner)
402336",,402336,M31,Northbound,"Outside of New York Health & Racquet Club, north on York Av",Kallos (M),E71,NYCWiN,,,40.769679,-73.951606,Upper East Side-Lenox Hill-Roosevelt Island,X,AREA OF MINIMAL FLOOD HAZARD,5,POINT (-73.951606 40.769679)
Queens,4,402,26,37,59,7,"VERNON BL 
& 50 AV
(SE Corner)
552128",,552128,Q103,Northbound,Transfer from Vernon-Jackson 7. North on Vernon Blvd to Astoria Houses,Van Bramer (Qn),E294,AT&T,06/20/2018,10/26/2018,40.742622,-73.953917,Long Island City-Hunters Point,X,AREA OF MINIMAL FLOOD HAZARD,3,POINT (-73.953917 40.742622)
Bronx,2,207,14,78,31,13,"UNIVERSITY AV & W FORDHAM RD
(NW Corner)
100189",,100189,Bx3,Southbound,"Transfer from Bx12 (SBS), south on University Avenue toward Manhattan. Adjacent to Devoe Park",Cabrera (X),E34,NYCWiN,,,40.862861,-73.904923,University Heights (North)-Fordham,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.904923 40.862861)
Manhattan,1,104,3,75,47,12,W 42 ST & 9 AV,NW,401852,M42,NB,,Johnson (Mn),E006,AT&T,08/23/2019,03/17/2021,40.75867,-73.992979,Hell's Kitchen,X,AREA OF MINIMAL FLOOD HAZARD,6,POINT (-73.992979 40.75867)
Manhattan,1,106,4,74,59,12,1 AV & E 31 ST    401694,,401694,M15,Northbound,-,Garodnick (M),E244,AT&T,,,40.741957,-73.974808,Murray Hill-Kips Bay,X,AREA OF MINIMAL FLOOD HAZARD,1,POINT (-73.974808 40.741957)
Manhattan,1,104,3,75,47,12,W 57 ST & 9 AV,SE,403984,"M31, M57",SB,,Johnson (Mn),E007,AT&T,08/29/2019,12/23/2020,40.767697,-73.98534,Hell's Kitchen,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.98534 40.767697)
Brooklyn,3,311,47,47,17,11,BAY PKY & 67 ST,SW,300658,B6,WB,,Treyger (Bk),E188,AT&T,05/13/2021,02/24/2022,40.612491,-73.982982,Bensonhurst,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.982982 40.612491)
Queens,4,401,22,36,59,14,"21 ST & 30 AV
(SW Corner)
550689",,550689,"Q100 LTD, Q69",Southbound,"Transfer from 30th Av buses (Q18, Q102) south on 21st St towards Long Island City (Queensboro Plaza & Court Sq)",Constantinides (Q),E13,NYCWiN,,,40.769815,-73.928066,Old Astoria-Hallets Point,X,AREA OF MINIMAL FLOOD HAZARD,3,POINT (-73.928066 40.769815)
Queens,4,412,27,33,14,5,Hollis Ave and Francis Lewis Blvd,NW,500134,Q2,WB,,Miller (Qn),E069,AT&T,01/02/2020,06/16/2020,40.707267,-73.751719,Hollis,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.751719 40.707267)
Brooklyn,3,312,44,48,22,9,"60 ST & 16 AV
(NE Corner)
301000",,301000,B9,Westbound,CM Request,Yeger (Bk),E330,AT&T,08/14/2018,11/27/2018,40.624838,-73.99179,Borough Park,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.99179 40.624838)
Manhattan,1,108,5,73,29,12,"3 AV & E 91 ST
(NE Corner)
402697",,402697,"M103, M102, M101, BxM1",Northbound,,Kallos (M),E224,AT&T,,,40.782086,-73.951458,Upper East Side-Yorkville,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.951458 40.782086)
Staten Island,5,501,49,63,23,11,"FOREST AV & 
2220 FOREST AV 201484",,201484,"S48, X12, X42",Eastbound,--,Savino (SI),E157,AT&T,,,40.626756,-74.163492,Mariner's Harbor-Arlington-Graniteville,X,AREA OF MINIMAL FLOOD HAZARD,4,POINT (-74.163492 40.626756)
Bronx,2,205,15,86,33,15,"GRAND CONCOURSE
& TREMONT AV
(SE Corner)
104112",,104112,"BX2, BX1 LTD, BX1",Northbound,"Transfer from Bx36 and Tremont Av B, D. North on Grand Concourse to Mott Haven",Torres (Bx),E338,AT&T,08/30/2018,12/05/2018,40.849059,-73.905997,Mount Hope,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.905997 40.849059)
Queens,4,401,22,36,59,14,30 AV & 34 ST,NW,550602,Q18,WB,,Constantinedes (Qn),E133,AT&T,07/23/2020,06/30/2021,40.765913,-73.919083,Astoria (Central),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.919083 40.765913)
Brooklyn,3,306,39,44,20,10,"7 AV & 6 ST
307936",,307936,"B69, B67",Northbound,Outside Methodist Hospital toward downtown BK and Navy Yard,Lander (K),E136,NYCWiN,,,40.668923,-73.979777,Park Slope,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.979777 40.668923)
Queens,4,412,27,32,14,5,Jamaica Ave and 160th St,SW,553036,"Q110, Q112",EB,,Miller (Qn),E060,AT&T,12/11/2019,06/10/2020,40.703657,-73.799181,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.799181 40.703657)
Manhattan,1,108,5,76,28,12,"E 67 ST & 1 AV
(NW Corner)
403503",,403503,M66,Westbound,"Adjacent to St. Catherine's Park. Transfer from NB M15 SBS, west on 67th St to Hunter and Lincoln Center",Kallos (M),E55,NYCWiN,,,40.764833,-73.958713,Upper East Side-Lenox Hill-Roosevelt Island,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.958713 40.764833)
Brooklyn,3,306,39,52,26,10,"COLUMBIA ST & CARROLL ST
(NE Corner)
307893",,307893,B61,Northbound / Eastbound,North through Cobble Hill toward Downtown BK,Lander (K),E31,NYCWiN,,,40.683269,-74.003479,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,X,AREA OF MINIMAL FLOOD HAZARD,4,POINT (-74.003479 40.683269)
Brooklyn,3,312,39,44,20,9,CHURCH AV & E 5 ST,NW,302767,B35,WB,,Lander (Bk),E078,AT&T,01/23/2020,08/26/2020,40.644332,-73.975965,Kensington,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.975965 40.644332)
Manhattan,1,108,5,76,28,12,3 AV/E 82 ST             402694,,402694,"M103, M102, M101",Northbound,-,Kallos (M),E225,AT&T,,,40.776582,-73.955559,Upper East Side-Yorkville,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.955559 40.776582)
Bronx,2,207,11,80,33,13,"W MOSHOLU PKY S 
& JEROME AV
(SW Corner)
103912",,103912,"Bx2, Bx1 LTD, Bx1",Southbound,Near Tracy Towers. Transfer from Moshulu Pkwy 4 train. South to Mott Haven,Cohen (Bx),E281,AT&T,05/17/2018,08/16/2018,40.879312,-73.885816,Bedford Park,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.885816 40.879312)
Queens,4,403,22,35,13,14,92 ST & ASTORIA BL,SW,553112,Q49,WB,,Constantinedes (Qn),E095,AT&T,02/10/2020,11/20/2020,40.762953,-73.877289,East Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,6,POINT (-73.877289 40.762953)
Staten Island,5,502,50,64,23,11,"HYLAN BL & LIBERTY AV
(NE Corner)
203698",,203698,"S79 SBS, S78",Northbound,Near shopping. North on Hylan Blvd to St. George or Bay Ridge,Oddo (SI),E19,NYCWiN,,,40.586116,-74.092279,Grasmere-Arrochar-South Beach-Dongan Hills,X,AREA OF MINIMAL FLOOD HAZARD,3,POINT (-74.092279 40.586116)
Manhattan,1,107,6,67,47,12,"BROADWAY 
& W 69 ST
(NE Corner)
400750",,400750,"M104, M7, M5",Northbound,North on Broadway to Harlem,Rosenthal (Mn),E303,AT&T,07/05/2018,10/31/2018,40.776682,-73.981922,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.981922 40.776682)
Brooklyn,3,301,33,50,59,7,MANHATTAN AV & NORMAN AV,SW,305173,"B43, B62",SB,,Levin (Bk),E179,AT&T,01/14/2021,06/15/2021,40.725111,-73.95163,Greenpoint,X,AREA OF MINIMAL FLOOD HAZARD,3,POINT (-73.95163 40.725111)
Staten Island,5,501,49,61,23,11,"BAY ST & WAVE ST
(NE Corner)
200149",,200149,S51,Northbound,St George,Oddo (SI),E381,AT&T,09/28/2018,12/14/2018,40.629791,-74.076621,Tompkinsville-Stapleton-Clifton-Fox Hills,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2,POINT (-74.076621 40.629791)
Manhattan,1,106,4,74,59,12,1 AV & E 27 ST              405396,,405396,"M15, M9",Northbound,--,Garodnick (M),E205,NYCWiN,,,40.739627,-73.976496,Murray Hill-Kips Bay,X,AREA OF MINIMAL FLOOD HAZARD,1,POINT (-73.976496 40.739627)
Brooklyn,3,313,48,46,23,8,"BRIGHTON BEACH AV & BR. 6 ST
(SW Corner)
300124",,300124,"B1, B68",Eastbound,"Transfer from Brighton Beach B, Q east towards Manhattan Beach on B1 or north on Coney Island Av on B68",Savino (K),E173,NYCWiN + CSF,,,40.577504,-73.961553,Brighton Beach,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1,POINT (-73.961553 40.577504)
Staten Island,5,501,50,63,24,11,"VICTORY BL & NEPTUNE PL
(SE Corner)
201960",,201960,"S93 LTD, S92 LTD, S62",Eastbound,Bay Ridge,Oddo (SI),E379,AT&T,09/28/2018,12/20/2018,40.609783,-74.148234,Westerleigh-Castleton Corners,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.148234 40.609783)
Bronx,2,207,15,78,33,13,"VALENTINE AV & 
E FORDHAM RD
(NW Corner)
102269",,102269,"BX34, BX34, BX22",Southbound,East on Fordham Rd to Castle Hill or north on Bainbridge Av to Woodlawn Heights,Torres (Bx),E337,AT&T,08/30/2018,11/14/2018,40.862431,-73.895859,University Heights (North)-Fordham,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.895859 40.862431)
Queens,4,404,21,39,13,14,CORONA AV &JUNCTION BL(NE Corner)                                        503517,,503517,"Q58 LTD, Q58",Southbound,Transfer from Q72. Southwest on Corona Av/Grand Av to Ridgewood,Katz (Qn),E254,AT&T,04/11/2018,09/26/2018,40.742172,-73.867254,Corona,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.867254 40.742172)
Queens,4,403,22,34,13,6,82 ST & 30 AV,SW,551134,Q33,SB,,Constantinedes (Qn),E121,AT&T,03/07/2020,03/01/2021,40.761121,-73.886493,Jackson Heights,X,AREA OF MINIMAL FLOOD HAZARD,6,POINT (-73.886493 40.761121)
Staten Island,5,501,49,61,23,11,"TARGEE ST & VANDERBILT AV
(SE Corner)
202147",,202147,"S76, S74",Northbound,Near Home Depot. North on Targee St/Bay St toward St. George,Oddo (SI),E3,NYCWiN,,,40.614879,-74.084618,Rosebank-Shore Acres-Park Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.084618 40.614879)
Queens,4,404,21,35,13,14,"JUNCTION BL 
& 57 AV
(NE Corner)
551990",,551990,Q72,Northbound,Transfer from Q38. North  on Junction Blvd to LGA.,Moya (Qn),E285,AT&T,05/29/2018,08/17/2018,40.736835,-73.865792,Corona,X,AREA OF MINIMAL FLOOD HAZARD,6,POINT (-73.865792 40.736835)
Manhattan,1,106,4,74,59,12,"AV C & FDR DR
(SE Corner)
402043",,402043,M09,Northbound,Kips Bay,Garodnick (M),E238,AT&T,,,40.730813,-73.973903,Stuyvesant Town-Peter Cooper Village,AE,,1,POINT (-73.973903 40.730813)
Brooklyn,3,307,38,51,26,10,39 ST & 2 AV,SE,302678,"B35, B70",SB,,Menchaca (Bk),E031,AT&T,10/08/2019,02/18/2020,40.654972,-74.010181,Sunset Park (West),X,AREA OF MINIMAL FLOOD HAZARD,4,POINT (-74.010181 40.654972)
Manhattan,1,103,1,65,27,10,"ALLEN ST &
DELANCEY ST
401679",,401679,,,,Kallos (M),E269,AT&T,,,40.719558,-73.989999,Lower East Side,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.989999 40.719558)
Brooklyn,3,313,47,46,23,8,SURF AV & W 29 ST,SW,302794,"B36, X28",NB,,Adams (Bk),E187,AT&T,03/11/2021,06/03/2021,40.57275,-73.995094,Coney Island-Sea Gate,AE,,1,POINT (-73.995094 40.57275)
Queens,4,403,22,35,13,14,23 AV & 92 ST,NE,551129,"Q33, Q48",SB,,Constantinedes (Qn),E111,AT&T,03/07/2020,01/14/2021,40.768054,-73.878327,East Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,6,POINT (-73.878327 40.768054)
Brooklyn,3,304,37,53,18,7,"DEKALB AV &
WYCKOFF AV
(NE Corner)
303043",,303043,"B38 LTD, B38, 
B13",Eastbound,Ridgewood,Espinal (Bk),E311,AT&T,07/20/2018,02/01/2019,40.704487,-73.918961,Bushwick (West),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.918961 40.704487)
Manhattan,1,105,4,75,28,12,"6 AV & W 45 ST
404043",,404043,"M7, M5,                 QM4",Northbound,-,Garodnick (M),E245,AT&T,,,40.75703,-73.982378,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.982378 40.75703)
Staten Island,5,503,51,62,24,11,MAIN ST & AMBOY RD(SW Corner) 200966,,200966,"S78, S59",Southbound,North toward St. George,Borelli (SI),E17,NYCWiN,,,40.508896,-74.246881,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.246881 40.508896)
Brooklyn,3,307,38,51,17,10,39 ST & 8 AV,NW,302778,"B35, B70",NB,,Menchaca (Bk),E033,AT&T,10/22/2019,03/06/2020,40.647523,-73.997614,Sunset Park (Central),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.997614 40.647523)
Staten Island,5,502,50,63,24,11,"CLOVE RD & 
TARGEE ST
203511",,203511,S53,,--,Savino (SI),E96,NYCWiN,,,40.6077,-74.089219,Grasmere-Arrochar-South Beach-Dongan Hills,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.089219 40.6077)
Brooklyn,3,312,38,51,17,10,39 ST & 9 AV,NE,302777,B35,WB,,Menchaca (Bk),E023,AT&T,09/24/2019,04/29/2020,40.645918,-73.994923,Sunset Park (East)-Borough Park (West),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.994923 40.645918)
Manhattan,1,106,5,73,28,12,E 57 ST/2 AV                 (SE Corner)                         402216,,402216,"M31, M57",Eastbound,"East on 57th St & north on 
York Av",Kallos (M),E214,AT&T,,,40.759086,-73.96486,East Midtown-Turtle Bay,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.96486 40.759086)
Staten Island,5,502,50,64,24,11,"HYLAN BL & 
ROSS AV
(SE Corner)
203683",,203683,S78,Northbound,St George,Oddo (SI),E409,AT&T,11/05/2018,04/11/2019,40.56862,-74.111454,New Dorp-Midland Beach,X,AREA OF MINIMAL FLOOD HAZARD,4,POINT (-74.111454 40.56862)
Staten Island,5,501,49,61,23,11,"RICHMOND TER & NICHOLAS ST
(SW Corner)
200044",,200044,"S44, S40",Eastbound,St George,Oddo (SI),E363,AT&T,09/21/2018,03/06/2019,40.647292,-74.081124,St. George-New Brighton,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.081124 40.647292)
Manhattan,1,107,6,67,47,12,"COLUMBUS AV 
& W 66 ST
(SW Corner)
405283",,405283,"M20, M11, M7",Northbound,Near Lincoln Center. Transfer from 1 train south on Columbus Av to West Village,Rosenthal (Mn),E304,AT&T,07/05/2018,10/31/2018,40.773394,-73.981807,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.981807 40.773394)
Manhattan,1,104,3,75,47,12,10 AV & W 45 ST,NE,401408,M11,NB,,Johnson (Mn),E001,AT&T,08/23/2019,03/16/2020,40.761749,-73.993798,Hell's Kitchen,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.993798 40.761749)
Manhattan,1,103,2,65,27,10,"MADISON ST &
JACKSON ST
(NW Corner)
402104",,402104,M22,Westbound,Just outside district borders. West along Madison St to Chinatown and Battery Park City,Chin (M),E146,NYCWiN,,,40.713586,-73.981358,Lower East Side,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.981358 40.713586)
Manhattan,1,104,3,75,47,12,"10 AV & W 34 ST
(SE Corner)
401404",,903267,M11,Northbound,Near Hudson Yars and Javits Center. North on 10th Av toward Manhattanville and City College.,Johnson (M),E85,NYCWiN,,,40.75468,-73.999023,Chelsea-Hudson Yards,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.999023 40.75468)
Queens,4,410,32,23,15,5,"ROCKAWAY BL & 
97 ST
(SW Corner)
550071",,550071,"Q41, Q7",Northbound,Transfers from A at Rockaway Blvd & NB/SB Buses on Cross Bay/Woodhaven,Ulrich (Q),E23,NYCWiN,,,40.68026,-73.842066,Ozone Park,X,AREA OF MINIMAL FLOOD HAZARD,6,POINT (-73.842066 40.68026)
Queens,4,412,27,33,14,5,Linden Blvd and Farmers Blvd,NW,500418,Q4,WB,,Miller (Qn),E066,AT&T,01/02/2020,08/06/2020,40.691764,-73.762858,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.762858 40.691764)
Staten Island,5,502,50,64,23,11,"MC CLEAN AV 
& MILLS AV
(SE Corner)
200129",,200129,S53,Eastbound,Bay Ridge,Oddo (SI),E366,AT&T,09/26/2018,03/06/2019,40.59721,-74.068752,Grasmere-Arrochar-South Beach-Dongan Hills,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.068752 40.59721)
Manhattan,1,106,4,73,28,12,"1 AV & E 52 ST
401702",,401702,M15,Northbound,--,Garodnick (M),E142,AT&T,,,40.755395,-73.964983,East Midtown-Turtle Bay,X,AREA OF MINIMAL FLOOD HAZARD,2,POINT (-73.964983 40.755395)
Queens,4,401,22,36,59,14,30 AV & 31 ST,SE,550527,Q18,EB,,Constantinedes (Qn),E089,AT&T,02/05/2020,12/10/2020,40.766737,-73.921327,Astoria (Central),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.921327 40.766737)
Staten Island,5,502,50,64,23,11,"RICHMOND RD & DONGAN HILLS AV
(NE Corner)
201597",,201597,"X15, S76, S74",Northbound,"North on Richmond Rd to St. George, Manhattan",Matteo (SI),E59,NYCWiN,,,40.588965,-74.101749,Grasmere-Arrochar-South Beach-Dongan Hills,X,AREA OF MINIMAL FLOOD HAZARD,6,POINT (-74.101749 40.588965)
Brooklyn,3,312,39,44,17,9,14 AV & CHURCH AV,SE,306711,B35,EB,,Lander (Bk),E064,AT&T,01/16/2020,06/07/2021,40.64189,-73.981284,Borough Park,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.981284 40.64189)
Queens,4,401,22,34,12,14,STEINWAY ST & 23 AV,SW,552057,Q101,SB,,Constantinedes (Qn),E096,AT&T,02/10/2020,11/20/2020,40.771061,-73.908445,Astoria (North)-Ditmars-Steinway,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.908445 40.771061)
Brooklyn,3,316,37,55,25,8,"E NEW YORK AV 
& JUNIUS ST
(SW Corner)
301343",,301343,B12,Eastbound,Cypress Hills,Espinal (Bk),E340,AT&T,09/06/2018,01/11/2019,40.67504,-73.904496,Brownsville,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.904496 40.67504)
Staten Island,5,501,49,61,23,11,"HENDERSON AV 
& LAFAYETTE AV
200855",,200855,"S94 LTD, S44",Eastbound,--,Oddo (SI),E109,NYCWiN,,,40.64065,-74.095176,St. George-New Brighton,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.095176 40.64065)
Brooklyn,3,306,39,52,20,10,7 AV & FLATBUSH AV                                  (SW Corner)               305670,,305670,"B69, B67",Southbound,Transfer from 7 Av B and Q subway station south on 7th Avenue through Park Slope,Lander (K),E27,NYCWiN,,,40.677797,-73.973229,Prospect Heights,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.973229 40.677797)
Queens,4,409,32,38,15,5,JAMAICA AV/102 ST  503388,,503388,Q56,Eastbound,"Transfer from 104 Street J, Z trains, east to Jamaica",Ulrich (Q),E203,NYCWiN,,,40.695115,-73.844826,Richmond Hill,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.844826 40.695115)
Manhattan,1,103,1,65,27,10,E BROADWAY/CATHERINE ST                        405006,,405006,M9,Eastbound,Northeast to Stuyvesant Town/Kips Bay,Chin (M),E151,NYCWiN,,,40.713376,-73.997392,Chinatown-Two Bridges,X,AREA OF MINIMAL FLOOD HAZARD,6,POINT (-73.997392 40.713376)
Manhattan,1,108,5,76,28,12,"YORK AV & 
E 77 ST
(SW Corner)
402349",,402349,M31,Southbound,Near PS 158. South on York Avenue.,Kallos (M),E74,NYCWiN,,,40.769815,-73.951645,Upper East Side-Lenox Hill-Roosevelt Island,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.951645 40.769815)
Manhattan,1,112,10,72,31,13,BROADWAY & W 181 ST,SE,402538,"Bx7, M100",NB,,Rodriguez (Mn),E135,AT&T,08/27/2020,05/21/2021,40.850064,-73.935752,Washington Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.935752 40.850064)
Queens,4,403,25,39,13,6,75 ST & 37 AV(SW Corner)                                                               982009,,982009,"Q47, Q49",Southbound,"Transfer from Roosevelt Av-Jackson Heights E, F, M. R. 7. South to Atlas Park Mall",Katz (Qn),E271,AT&T,04/19/2018,08/17/2018,40.748866,-73.890968,Jackson Heights,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.890968 40.748866)
Bronx,2,207,14,86,31,13,W KINGSBRIDGE RD & HEATH AV,SW,100626,Bx9,SB,,Cabrera (Bx),E151,AT&T,10/30/2020,05/06/2021,40.872591,-73.904832,University Heights (North)-Fordham,X,AREA OF MINIMAL FLOOD HAZARD,6,POINT (-73.904832 40.872591)
Queens,4,404,21,35,13,14,"108 ST & 
WALDRON ST
(NW Corner)
503491",,503491,"Q58, Q23",Northbound,West to Ridgewood,Moya (Qn),E286,AT&T,05/29/2018,09/27/2018,40.739159,-73.852687,Corona,X,AREA OF MINIMAL FLOOD HAZARD,5,POINT (-73.852687 40.739159)
Staten Island,5,502,50,64,23,11,"HYLAN BL &
SEAVIEW AV         (SW Corner)
201109",,201109,"S79 SBS, S78",Southbound,--,Matteo (SI),E105,NYCWiN,,,40.586369,-74.092337,Grasmere-Arrochar-South Beach-Dongan Hills,X,AREA OF MINIMAL FLOOD HAZARD,3,POINT (-74.092337 40.586369)
Brooklyn,3,307,38,51,26,10,52 ST & 4 AV,SW,306579,B11,EB,,Menchaca (Bk),E021,AT&T,09/17/2019,02/18/2020,40.645434,-74.013992,Sunset Park (West),X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.013992 40.645434)
Manhattan,1,106,4,73,28,12,"E 57 ST & 3 AV
402224",,402224,"M57, M31",Westbound,"Transfer from 3rd Av buses, west on 57th St",Garodnick (M),E206,AT&T,,,40.760521,-73.967931,East Midtown-Turtle Bay,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.967931 40.760521)
Queens,4,403,22,34,13,14,31 AV & 75 ST,NE,551604,Q47,SB,,Constantinedes (Qn),E103,AT&T,02/21/2020,01/28/2021,40.758653,-73.892381,Jackson Heights,X,AREA OF MINIMAL FLOOD HAZARD,6,POINT (-73.892381 40.758653)
Manhattan,1,108,5,76,28,12,"YORK AV 
& E 88 ST 
(SW Corner)
401917",,401917,M31,Southbound,"Near Gracie Mansion, Carl Schurz Park, south on York Av & west on 57th St",Kallos (M),E75,NYCWiN,,,40.776997,-73.946434,Upper East Side-Yorkville,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-73.946434 40.776997)
Staten Island,5,501,49,63,23,11,"RICHMOND AV & MARC ST
(NE Corner)
202839",,202839,"S94 LTD, S59, S44",Eastbound,St George,Oddo (SI),E418,AT&T,11/08/2018,01/22/2019,40.620348,-74.152641,Mariner's Harbor-Arlington-Graniteville,X,AREA OF MINIMAL FLOOD HAZARD,,POINT (-74.152641 40.620348)
